ELD File Header Segment:
RAJ,RAJPAL,DUS456H,CA,567hghg,65
,,,96
015,1XKYDP9X5NJ234589,NA,8D
0001,All Star Elogs Inc,7,000000,04,8E
NA,0,EF
052826,105630,0,0,0,0.0,A7
TEST,AS1955,3056A38C27C8FCBCE961,Test flag Y,6D
User List:
1,D,RAJ,RAJPAL,71
CMV List:
1,015,1XKYDP9X5NJ234589,3F
ELD Event List:
2,1,1,1,4,052826,105938,0,0.0,36.547235,-119.698293,0,1,1,0,0,3F,D3
5,1,1,1,1,052826,114900,12,0.8,36.547242,-119.698095,0,1,1,0,0,3F,A3
8,1,1,1,3,052826,122947,0,0.2,36.547166,-119.698108,0,1,1,0,0,3F,F3
9,1,1,2,1,052826,132948,53,1.2,35.939938,-119.287198,0,1,1,0,0,3F,B8
A,1,1,2,1,052826,142948,106,2.2,35.344647,-118.878645,0,1,1,0,0,3F,88
B,1,1,1,4,052826,143343,107,2.2,35.345659,-118.863801,0,1,1,0,0,3F,3B
C,1,1,1,1,052826,144653,107,2.4,35.345662,-118.863798,0,1,1,0,0,3F,88
F,1,1,1,4,052826,171035,0,0.0,35.345898,-118.863454,0,1,1,0,0,3F,3B
10,1,1,1,3,052826,172718,0,0.3,35.345706,-118.863623,0,1,1,0,0,3F,7A
11,1,1,2,1,052826,182718,56,1.3,35.951096,-119.289433,0,1,1,0,0,3F,1B
12,1,1,1,4,052826,191817,102,2.2,36.546043,-119.598302,0,1,1,0,0,3F,8B
13,1,1,1,3,052826,193543,102,2.4,36.546033,-119.598016,0,1,1,0,0,3F,B3
14,1,1,1,2,052826,194729,108,2.7,36.547214,-119.698547,0,1,1,0,0,3F,90
1A,1,1,1,4,052926,090216,0,0.0,36.547249,-119.698319,0,1,1,0,0,3F,3B
1B,1,1,1,3,052926,091803,0,0.4,36.54722,-119.699031,0,1,1,0,0,3F,DB
1C,1,1,1,1,052926,095638,15,1.0,36.724173,-119.773236,0,1,1,0,0,3F,5B
1F,1,1,1,3,052926,103233,0,0.2,36.724451,-119.772646,0,1,1,0,0,3F,DB
20,1,1,1,1,052926,110231,17,0.7,36.54724,-119.698305,0,1,1,0,0,3F,5A
23,1,1,1,4,052926,115028,0,0.0,36.547236,-119.698312,0,1,1,0,0,3F,72
24,1,1,1,3,052926,120537,0,0.3,36.547214,-119.698587,0,1,1,0,0,3F,C3
25,1,1,2,1,052926,130537,52,1.3,35.96751,-119.291488,0,1,1,0,0,3F,F3
26,1,1,2,1,052926,140537,108,2.3,35.238293,-119.039092,0,1,1,0,0,3F,AB
27,1,1,1,4,052926,140749,108,2.3,35.238407,-119.038741,0,1,1,0,0,3F,F3
28,1,1,1,3,052926,141333,108,2.3,35.237877,-119.038857,0,1,1,0,0,3F,33
29,1,1,1,1,052926,141538,108,2.4,35.239109,-119.038524,0,1,1,0,0,3F,D3
2C,1,1,1,3,052926,155159,0,0.1,35.239011,-119.038894,0,1,1,0,0,3F,F3
2D,1,1,1,4,052926,155846,0,0.1,35.236864,-119.037375,0,1,1,0,0,3F,2B
2E,1,1,1,1,052926,162446,0,0.6,35.237111,-119.037257,0,1,1,0,0,3F,BB
33,2,1,1,1,052926,191636,107,2.3,36.547264,-119.698341,0,1,1,0,0,3F,33
37,1,1,1,4,053026,041827,0,0.0,36.547291,-119.698315,0,1,1,0,0,3F,83
38,1,1,1,3,053026,044046,0,0.4,36.54723,-119.698518,0,1,1,0,0,3F,93
39,1,1,1,4,053026,050637,15,0.8,36.724467,-119.772935,0,1,1,0,0,3F,33
3A,1,1,1,1,053026,051926,16,1.0,36.724029,-119.773234,0,1,1,0,0,3F,D3
3D,1,1,1,3,053026,060038,0,0.1,36.724062,-119.772772,0,1,1,0,0,3F,8B
3E,1,1,1,1,053026,062721,16,0.6,36.547243,-119.698317,0,1,1,0,0,3F,3B
41,1,1,1,4,053026,071720,0,0.0,36.547221,-119.698328,0,1,1,0,0,3F,3A
42,1,1,1,3,053026,073225,0,0.2,36.547166,-119.699174,0,1,1,0,0,3F,9B
43,1,1,2,1,053026,083226,54,1.2,35.954047,-119.290429,0,1,1,0,0,3F,83
44,1,1,2,1,053026,093226,109,2.2,35.3459,-118.864481,0,1,1,0,0,3F,83
45,1,1,1,4,053026,093530,109,2.3,35.345822,-118.86357,0,1,1,0,0,3F,BB
46,2,1,1,4,053026,093620,109,2.3,35.345822,-118.86357,0,1,1,0,0,3F,AB
47,1,1,1,1,053026,094924,109,2.5,35.345817,-118.863578,0,1,1,0,0,3F,43
4A,1,1,1,3,053026,105801,0,0.2,35.345848,-118.864209,0,1,1,0,0,3F,A3
4B,1,1,2,1,053026,115801,57,1.2,35.970334,-119.291878,0,1,1,0,0,3F,3B
4C,1,1,2,1,053026,125801,107,2.2,36.547254,-119.698294,0,1,1,0,0,3F,5B
4D,1,1,1,1,053026,125950,107,2.2,36.547253,-119.698297,0,1,1,0,0,3F,90
